S.no,Transacton_type,Total_Transactions_count,Total_Amount,Quarter,Year,State
1,Recharge & bill payments,4200,1845307.467,1,2018,andaman-&-nicobar-islands
2,Peer-to-peer payments,1871,12138655.3,1,2018,andaman-&-nicobar-islands
3,Merchant payments,298,452507.1686,1,2018,andaman-&-nicobar-islands
4,Financial Services,33,10601.41993,1,2018,andaman-&-nicobar-islands
5,Others,256,184689.8663,1,2018,andaman-&-nicobar-islands
6,Recharge & bill payments,6735,2320944.731,2,2018,andaman-&-nicobar-islands
7,Peer-to-peer payments,3575,24511925.23,2,2018,andaman-&-nicobar-islands
8,Merchant payments,603,1024491.013,2,2018,andaman-&-nicobar-islands
9,Financial Services,59,121336.0271,2,2018,andaman-&-nicobar-islands
10,Others,368,359838.5054,2,2018,andaman-&-nicobar-islands
11,Recharge & bill payments,8636,4343504.868,3,2018,andaman-&-nicobar-islands
12,Peer-to-peer payments,6448,49270781.54,3,2018,andaman-&-nicobar-islands
13,Merchant payments,945,1627359.839,3,2018,andaman-&-nicobar-islands
14,Financial Services,42,1481.490704,3,2018,andaman-&-nicobar-islands
15,Others,194,314343.3941,3,2018,andaman-&-nicobar-islands
16,Recharge & bill payments,11517,5450549.512,4,2018,andaman-&-nicobar-islands
17,Peer-to-peer payments,10451,81001456.98,4,2018,andaman-&-nicobar-islands
18,Merchant payments,1421,3552027.735,4,2018,andaman-&-nicobar-islands
19,Financial Services,29,76035.78774,4,2018,andaman-&-nicobar-islands
20,Others,340,468266.0607,4,2018,andaman-&-nicobar-islands
21,Recharge & bill payments,15263,6611459.873,1,2019,andaman-&-nicobar-islands
22,Peer-to-peer payments,13119,91808345.87,1,2019,andaman-&-nicobar-islands
23,Merchant payments,1759,3266589.847,1,2019,andaman-&-nicobar-islands
24,Financial Services,62,116250.4367,1,2019,andaman-&-nicobar-islands
25,Others,283,497094.6484,1,2019,andaman-&-nicobar-islands
26,Recharge & bill payments,14676,7242448.256,2,2019,andaman-&-nicobar-islands
27,Peer-to-peer payments,14481,107525358.7,2,2019,andaman-&-nicobar-islands
28,Merchant payments,4031,4702152.617,2,2019,andaman-&-nicobar-islands
29,Financial Services,124,113278.9137,2,2019,andaman-&-nicobar-islands
30,Others,377,671471.2226,2,2019,andaman-&-nicobar-islands
31,Recharge & bill payments,16219,8171737.706,3,2019,andaman-&-nicobar-islands
32,Peer-to-peer payments,13767,101079821.1,3,2019,andaman-&-nicobar-islands
33,Merchant payments,3519,4428734.575,3,2019,andaman-&-nicobar-islands
34,Financial Services,50,158857.9432,3,2019,andaman-&-nicobar-islands
35,Others,215,232624.7599,3,2019,andaman-&-nicobar-islands
36,Peer-to-peer payments,18128,121493224.3,4,2019,andaman-&-nicobar-islands
37,Recharge & bill payments,13851,9538690.916,4,2019,andaman-&-nicobar-islands
38,Merchant payments,2920,5247500.488,4,2019,andaman-&-nicobar-islands
39,Financial Services,60,295937.2111,4,2019,andaman-&-nicobar-islands
40,Others,200,263177.5944,4,2019,andaman-&-nicobar-islands
41,Peer-to-peer payments,18324,142332401.8,1,2020,andaman-&-nicobar-islands
42,Recharge & bill payments,18268,10850414.02,1,2020,andaman-&-nicobar-islands
43,Merchant payments,4424,7752871.558,1,2020,andaman-&-nicobar-islands
44,Financial Services,66,208231.7307,1,2020,andaman-&-nicobar-islands
45,Others,216,332393.192,1,2020,andaman-&-nicobar-islands
46,Recharge & bill payments,38125,17659622.73,2,2020,andaman-&-nicobar-islands
47,Peer-to-peer payments,20303,141728757.7,2,2020,andaman-&-nicobar-islands
48,Merchant payments,4004,9236375.74,2,2020,andaman-&-nicobar-islands
49,Financial Services,175,706932.1397,2,2020,andaman-&-nicobar-islands
50,Others,355,313313.0646,2,2020,andaman-&-nicobar-islands
51,Recharge & bill payments,59310,24756220.88,3,2020,andaman-&-nicobar-islands
52,Peer-to-peer payments,40697,289078946.7,3,2020,andaman-&-nicobar-islands
53,Merchant payments,16096,22682992.24,3,2020,andaman-&-nicobar-islands
54,Financial Services,572,961836.713,3,2020,andaman-&-nicobar-islands
55,Others,808,539449.7722,3,2020,andaman-&-nicobar-islands
56,Peer-to-peer payments,81439,533316526.2,4,2020,andaman-&-nicobar-islands
57,Recharge & bill payments,80811,33710030.53,4,2020,andaman-&-nicobar-islands
58,Merchant payments,59391,56867468.94,4,2020,andaman-&-nicobar-islands
59,Financial Services,965,1880546.967,4,2020,andaman-&-nicobar-islands
60,Others,1925,1508083.692,4,2020,andaman-&-nicobar-islands
61,Peer-to-peer payments,105458,665391395.7,1,2021,andaman-&-nicobar-islands
62,Recharge & bill payments,84119,37160922.87,1,2021,andaman-&-nicobar-islands
63,Merchant payments,53090,78606979.06,1,2021,andaman-&-nicobar-islands
64,Financial Services,884,1469351.085,1,2021,andaman-&-nicobar-islands
65,Others,1201,1077918.666,1,2021,andaman-&-nicobar-islands
66,Peer-to-peer payments,132772,748382044.8,2,2021,andaman-&-nicobar-islands
67,Recharge & bill payments,120911,43691961.26,2,2021,andaman-&-nicobar-islands
68,Merchant payments,85143,103707408.5,2,2021,andaman-&-nicobar-islands
69,Financial Services,960,2038521.514,2,2021,andaman-&-nicobar-islands
70,Others,1628,1327080.056,2,2021,andaman-&-nicobar-islands
71,Peer-to-peer payments,192321,1077787837,3,2021,andaman-&-nicobar-islands
72,Recharge & bill payments,136010,51243450.86,3,2021,andaman-&-nicobar-islands
73,Merchant payments,118340,176991328.2,3,2021,andaman-&-nicobar-islands
74,Financial Services,990,2351013.442,3,2021,andaman-&-nicobar-islands
75,Others,2103,1650766.127,3,2021,andaman-&-nicobar-islands
76,Peer-to-peer payments,285778,1544932663,4,2021,andaman-&-nicobar-islands
77,Merchant payments,210164,322842314.6,4,2021,andaman-&-nicobar-islands
78,Recharge & bill payments,135608,59243518.11,4,2021,andaman-&-nicobar-islands
79,Financial Services,1718,3137965.167,4,2021,andaman-&-nicobar-islands
80,Others,2855,2453640.143,4,2021,andaman-&-nicobar-islands
81,Peer-to-peer payments,342649,1682328506,1,2022,andaman-&-nicobar-islands
82,Merchant payments,284298,370091558.7,1,2022,andaman-&-nicobar-islands
83,Recharge & bill payments,163401,71300133.66,1,2022,andaman-&-nicobar-islands
84,Financial Services,1757,2869682.023,1,2022,andaman-&-nicobar-islands
85,Others,2643,2440321.982,1,2022,andaman-&-nicobar-islands
86,Merchant payments,449540,510838980.9,2,2022,andaman-&-nicobar-islands
87,Peer-to-peer payments,437606,2088309073,2,2022,andaman-&-nicobar-islands
88,Recharge & bill payments,179515,82232936.62,2,2022,andaman-&-nicobar-islands
89,Financial Services,1448,2089862.393,2,2022,andaman-&-nicobar-islands
90,Others,3108,2449496.708,2,2022,andaman-&-nicobar-islands
91,Merchant payments,716105,693438186.3,3,2022,andaman-&-nicobar-islands
92,Peer-to-peer payments,622217,2514535155,3,2022,andaman-&-nicobar-islands
93,Recharge & bill payments,240766,97748065.63,3,2022,andaman-&-nicobar-islands
94,Financial Services,1814,2166304.978,3,2022,andaman-&-nicobar-islands
95,Others,3477,2744060.671,3,2022,andaman-&-nicobar-islands
96,Merchant payments,956536,906365300.7,4,2022,andaman-&-nicobar-islands
97,Peer-to-peer payments,768758,2961630585,4,2022,andaman-&-nicobar-islands
98,Recharge & bill payments,256050,110037119.7,4,2022,andaman-&-nicobar-islands
99,Financial Services,2499,3533987.23,4,2022,andaman-&-nicobar-islands
100,Others,3692,3107412.044,4,2022,andaman-&-nicobar-islands
101,Recharge & bill payments,5027448,892293975.7,1,2018,andhra-pradesh
102,Peer-to-peer payments,3049646,10524250283,1,2018,andhra-pradesh
103,Merchant payments,362672,247297640.2,1,2018,andhra-pradesh
104,Financial Services,204305,44808449.76,1,2018,andhra-pradesh
105,Others,395514,287626043,1,2018,andhra-pradesh
106,Recharge & bill payments,6456387,1598591488,2,2018,andhra-pradesh
107,Peer-to-peer payments,4745000,20451493099,2,2018,andhra-pradesh
108,Merchant payments,604847,436785223.9,2,2018,andhra-pradesh
109,Financial Services,225621,68952114.81,2,2018,andhra-pradesh
110,Others,322063,328092346.6,2,2018,andhra-pradesh
111,Peer-to-peer payments,16129591,32738630445,3,2018,andhra-pradesh
112,Recharge & bill payments,7542005,1949098147,3,2018,andhra-pradesh
113,Merchant payments,1225416,685277254.5,3,2018,andhra-pradesh
114,Financial Services,380324,60790077.57,3,2018,andhra-pradesh
115,Others,348725,284248675.6,3,2018,andhra-pradesh
116,Peer-to-peer payments,17580086,47011639726,4,2018,andhra-pradesh
117,Recharge & bill payments,9767083,2418164314,4,2018,andhra-pradesh
118,Merchant payments,2622131,1671585889,4,2018,andhra-pradesh
119,Financial Services,400837,57178116.4,4,2018,andhra-pradesh
120,Others,389411,315211361.3,4,2018,andhra-pradesh
121,Peer-to-peer payments,37420988,77524329742,1,2019,andhra-pradesh
122,Recharge & bill payments,14022264,3480641602,1,2019,andhra-pradesh
123,Merchant payments,5043682,2423536770,1,2019,andhra-pradesh
124,Financial Services,416325,47150177.53,1,2019,andhra-pradesh
125,Others,361263,284937624.5,1,2019,andhra-pradesh
126,Peer-to-peer payments,32494402,1.04E+11,2,2019,andhra-pradesh
127,Recharge & bill payments,14093964,4708345388,2,2019,andhra-pradesh
128,Merchant payments,9226537,4613405203,2,2019,andhra-pradesh
129,Financial Services,145310,26626696.77,2,2019,andhra-pradesh
130,Others,448802,361492238.4,2,2019,andhra-pradesh
131,Peer-to-peer payments,39023491,1.24E+11,3,2019,andhra-pradesh
132,Recharge & bill payments,20147629,6893984677,3,2019,andhra-pradesh
133,Merchant payments,16581787,7887394038,3,2019,andhra-pradesh
134,Financial Services,122270,29778183.03,3,2019,andhra-pradesh
135,Others,413437,298142027.6,3,2019,andhra-pradesh
136,Peer-to-peer payments,57181511,1.79E+11,4,2019,andhra-pradesh
137,Merchant payments,25122370,13476303368,4,2019,andhra-pradesh
138,Recharge & bill payments,24469888,8335168606,4,2019,andhra-pradesh
139,Financial Services,105662,26796571.75,4,2019,andhra-pradesh
140,Others,338672,216496893.2,4,2019,andhra-pradesh
141,Peer-to-peer payments,65452143,2.23E+11,1,2020,andhra-pradesh
142,Merchant payments,31408022,18603161784,1,2020,andhra-pradesh
143,Recharge & bill payments,30449644,10813530778,1,2020,andhra-pradesh
