State,Year,Quarter,Registered_Users,AppOpenings
andaman-&-nicobar-islands,2018,1,6740,0
andaman-&-nicobar-islands,2018,2,9405,0
andaman-&-nicobar-islands,2018,3,12149,0
andaman-&-nicobar-islands,2018,4,15222,0
andaman-&-nicobar-islands,2019,1,18596,0
andaman-&-nicobar-islands,2019,2,21731,52640
andaman-&-nicobar-islands,2019,3,23931,171107
andaman-&-nicobar-islands,2019,4,25960,177012
andaman-&-nicobar-islands,2020,1,28368,193586
andaman-&-nicobar-islands,2020,2,32710,305072
andaman-&-nicobar-islands,2020,3,41335,515565
andaman-&-nicobar-islands,2020,4,52396,887208
andaman-&-nicobar-islands,2021,1,57758,1004336
andaman-&-nicobar-islands,2021,2,62095,2248223
andaman-&-nicobar-islands,2021,3,66982,3121625
andaman-&-nicobar-islands,2021,4,71780,2112910
andaman-&-nicobar-islands,2022,1,76288,3847407
andaman-&-nicobar-islands,2022,2,80530,5180013
andaman-&-nicobar-islands,2022,3,84642,6068354
andaman-&-nicobar-islands,2022,4,88442,4354093
andhra-pradesh,2018,1,3336450,0
andhra-pradesh,2018,2,4402540,0
andhra-pradesh,2018,3,5427617,0
andhra-pradesh,2018,4,6857409,0
andhra-pradesh,2019,1,8283019,0
andhra-pradesh,2019,2,9389003,81375251
andhra-pradesh,2019,3,10458693,310953542
andhra-pradesh,2019,4,11757883,411201518
andhra-pradesh,2020,1,13022060,486513773
andhra-pradesh,2020,2,14319675,494341698
andhra-pradesh,2020,3,15692405,696300382
andhra-pradesh,2020,4,17076565,869078538
andhra-pradesh,2021,1,18363733,957709447
andhra-pradesh,2021,2,19620905,1044705436
andhra-pradesh,2021,3,21059898,1258536879
andhra-pradesh,2021,4,22489029,1447717601
andhra-pradesh,2022,1,23857951,1254785973
andhra-pradesh,2022,2,25157264,1378736856
andhra-pradesh,2022,3,26496330,1357005703
andhra-pradesh,2022,4,27778016,1673374802
arunachal-pradesh,2018,1,21495,0
arunachal-pradesh,2018,2,32883,0
arunachal-pradesh,2018,3,45922,0
arunachal-pradesh,2018,4,61852,0
arunachal-pradesh,2019,1,76957,0
arunachal-pradesh,2019,2,95885,502873
arunachal-pradesh,2019,3,112149,1811700
arunachal-pradesh,2019,4,129321,2140340
arunachal-pradesh,2020,1,149066,2598321
arunachal-pradesh,2020,2,177534,3387006
arunachal-pradesh,2020,3,206046,4003421
arunachal-pradesh,2020,4,231292,4472667
arunachal-pradesh,2021,1,251240,4796708
arunachal-pradesh,2021,2,270572,13025849
arunachal-pradesh,2021,3,293073,17209654
arunachal-pradesh,2021,4,314944,11230295
arunachal-pradesh,2022,1,335339,41418559
arunachal-pradesh,2022,2,354528,49889518
arunachal-pradesh,2022,3,373372,59722628
arunachal-pradesh,2022,4,390307,21775038
assam,2018,1,385237,0
assam,2018,2,571046,0
assam,2018,3,784802,0
assam,2018,4,1039221,0
assam,2019,1,1259085,0
assam,2019,2,1500128,7350326
assam,2019,3,1731523,25393673
assam,2019,4,1941220,26599449
assam,2020,1,2185938,33097892
assam,2020,2,2550883,39304924
assam,2020,3,2830011,41875278
assam,2020,4,3106153,49321814
assam,2021,1,3358448,56752364
assam,2021,2,3617056,102003890
assam,2021,3,3918480,135288631
assam,2021,4,4209591,130600435
assam,2022,1,4492589,281642453
assam,2022,2,4755787,339929089
assam,2022,3,5016910,410760707
assam,2022,4,5247776,248781157
bihar,2018,1,2133804,0
bihar,2018,2,3005872,0
bihar,2018,3,3784535,0
bihar,2018,4,4776665,0
bihar,2019,1,5745117,0
bihar,2019,2,6589759,39607022
bihar,2019,3,7380265,126521298
bihar,2019,4,8342274,163998097
bihar,2020,1,9351234,183868505
bihar,2020,2,10603767,218435035
bihar,2020,3,11763213,266652644
bihar,2020,4,12889833,317056600
bihar,2021,1,13946288,355792608
bihar,2021,2,14972134,371198660
bihar,2021,3,16160771,421801379
bihar,2021,4,17335981,647400838
bihar,2022,1,18484658,316991599
bihar,2022,2,19569894,348588438
bihar,2022,3,20694376,336807385
bihar,2022,4,21738117,834827202
chandigarh,2018,1,86268,0
chandigarh,2018,2,115219,0
chandigarh,2018,3,143893,0
chandigarh,2018,4,177747,0
chandigarh,2019,1,209175,0
chandigarh,2019,2,240439,1220176
chandigarh,2019,3,267337,4625196
chandigarh,2019,4,289590,4960441
chandigarh,2020,1,312887,5201211
chandigarh,2020,2,336351,3451250
chandigarh,2020,3,362588,4888739
chandigarh,2020,4,391402,6477974
chandigarh,2021,1,419998,7919533
chandigarh,2021,2,448572,4733924
chandigarh,2021,3,480463,6378807
chandigarh,2021,4,512092,11603954
chandigarh,2022,1,541549,2321685
chandigarh,2022,2,569582,2285979
chandigarh,2022,3,598698,2173356
chandigarh,2022,4,627563,15308862
chhattisgarh,2018,1,679263,0
chhattisgarh,2018,2,950675,0
chhattisgarh,2018,3,1217792,0
chhattisgarh,2018,4,1579998,0
chhattisgarh,2019,1,1908898,0
chhattisgarh,2019,2,2191066,13206373
chhattisgarh,2019,3,2435058,46362341
chhattisgarh,2019,4,2725900,57278977
chhattisgarh,2020,1,3016487,64224101
chhattisgarh,2020,2,3401658,68493384
chhattisgarh,2020,3,3799386,86918606
chhattisgarh,2020,4,4190601,109900467
chhattisgarh,2021,1,4514551,124648704
chhattisgarh,2021,2,4837055,205784717
chhattisgarh,2021,3,5206084,276486076
chhattisgarh,2021,4,5565481,251752583
