S.no,Brands,Count,Percentage,Quarter,Year,State
1,Xiaomi,1665,0.247032641,1,2018,andaman-&-nicobar-islands
2,Samsung,1445,0.214391691,1,2018,andaman-&-nicobar-islands
3,Vivo,982,0.145697329,1,2018,andaman-&-nicobar-islands
4,Oppo,501,0.074332344,1,2018,andaman-&-nicobar-islands
5,OnePlus,332,0.04925816,1,2018,andaman-&-nicobar-islands
6,Realme,316,0.046884273,1,2018,andaman-&-nicobar-islands
7,Apple,229,0.033976261,1,2018,andaman-&-nicobar-islands
8,Motorola,226,0.033531157,1,2018,andaman-&-nicobar-islands
9,Lenovo,202,0.029970326,1,2018,andaman-&-nicobar-islands
10,Huawei,158,0.023442136,1,2018,andaman-&-nicobar-islands
11,Others,684,0.10148368,1,2018,andaman-&-nicobar-islands
12,Xiaomi,2303,0.24486975,2,2018,andaman-&-nicobar-islands
13,Samsung,1923,0.20446571,2,2018,andaman-&-nicobar-islands
14,Vivo,1523,0.161935141,2,2018,andaman-&-nicobar-islands
15,Oppo,708,0.075279107,2,2018,andaman-&-nicobar-islands
16,OnePlus,466,0.049548113,2,2018,andaman-&-nicobar-islands
17,Realme,465,0.049441786,2,2018,andaman-&-nicobar-islands
18,Motorola,319,0.033918129,2,2018,andaman-&-nicobar-islands
19,Apple,308,0.032748538,2,2018,andaman-&-nicobar-islands
20,Lenovo,244,0.025943647,2,2018,andaman-&-nicobar-islands
21,Huawei,230,0.024455077,2,2018,andaman-&-nicobar-islands
22,Others,916,0.097395003,2,2018,andaman-&-nicobar-islands
23,Xiaomi,2950,0.242818339,3,2018,andaman-&-nicobar-islands
24,Samsung,2409,0.198287925,3,2018,andaman-&-nicobar-islands
25,Vivo,2063,0.169808215,3,2018,andaman-&-nicobar-islands
26,Oppo,988,0.081323566,3,2018,andaman-&-nicobar-islands
27,OnePlus,617,0.050786073,3,2018,andaman-&-nicobar-islands
28,Realme,603,0.049633715,3,2018,andaman-&-nicobar-islands
29,Motorola,390,0.032101408,3,2018,andaman-&-nicobar-islands
30,Apple,371,0.030537493,3,2018,andaman-&-nicobar-islands
31,Huawei,314,0.025845749,3,2018,andaman-&-nicobar-islands
32,Lenovo,299,0.024611079,3,2018,andaman-&-nicobar-islands
33,Others,1145,0.09424644,3,2018,andaman-&-nicobar-islands
34,Xiaomi,3719,0.244317435,4,2018,andaman-&-nicobar-islands
35,Samsung,2936,0.192878728,4,2018,andaman-&-nicobar-islands
36,Vivo,2742,0.180134017,4,2018,andaman-&-nicobar-islands
37,Oppo,1268,0.083300486,4,2018,andaman-&-nicobar-islands
38,Realme,760,0.049927736,4,2018,andaman-&-nicobar-islands
39,OnePlus,721,0.047365655,4,2018,andaman-&-nicobar-islands
40,Motorola,474,0.031139141,4,2018,andaman-&-nicobar-islands
41,Apple,455,0.029890947,4,2018,andaman-&-nicobar-islands
42,Huawei,398,0.026146367,4,2018,andaman-&-nicobar-islands
43,Lenovo,377,0.024766785,4,2018,andaman-&-nicobar-islands
44,Others,1372,0.090132703,4,2018,andaman-&-nicobar-islands
45,Xiaomi,4576,0.246074425,1,2019,andaman-&-nicobar-islands
46,Samsung,3567,0.191815444,1,2019,andaman-&-nicobar-islands
47,Vivo,3420,0.183910518,1,2019,andaman-&-nicobar-islands
48,Oppo,1600,0.086040009,1,2019,andaman-&-nicobar-islands
49,Realme,897,0.04823618,1,2019,andaman-&-nicobar-islands
50,OnePlus,855,0.04597763,1,2019,andaman-&-nicobar-islands
51,Motorola,561,0.030167778,1,2019,andaman-&-nicobar-islands
52,Apple,515,0.027694128,1,2019,andaman-&-nicobar-islands
53,Huawei,515,0.027694128,1,2019,andaman-&-nicobar-islands
54,Lenovo,426,0.022908152,1,2019,andaman-&-nicobar-islands
55,Others,1664,0.089481609,1,2019,andaman-&-nicobar-islands
56,Xiaomi,5296,0.243707146,2,2019,andaman-&-nicobar-islands
57,Samsung,4165,0.191661681,2,2019,andaman-&-nicobar-islands
58,Vivo,4102,0.188762597,2,2019,andaman-&-nicobar-islands
59,Oppo,1905,0.087662786,2,2019,andaman-&-nicobar-islands
60,Realme,1012,0.046569417,2,2019,andaman-&-nicobar-islands
61,OnePlus,950,0.04371635,2,2019,andaman-&-nicobar-islands
62,Huawei,644,0.029635084,2,2019,andaman-&-nicobar-islands
63,Motorola,630,0.028990843,2,2019,andaman-&-nicobar-islands
64,Apple,569,0.026183793,2,2019,andaman-&-nicobar-islands
65,Lenovo,477,0.021950209,2,2019,andaman-&-nicobar-islands
66,Others,1981,0.091160094,2,2019,andaman-&-nicobar-islands
67,Xiaomi,5819,0.243157411,3,2019,andaman-&-nicobar-islands
68,Vivo,4685,0.195771175,3,2019,andaman-&-nicobar-islands
69,Samsung,4508,0.188374911,3,2019,andaman-&-nicobar-islands
70,Oppo,2108,0.088086582,3,2019,andaman-&-nicobar-islands
71,Realme,1158,0.048389119,3,2019,andaman-&-nicobar-islands
72,OnePlus,1045,0.04366721,3,2019,andaman-&-nicobar-islands
73,Huawei,725,0.030295433,3,2019,andaman-&-nicobar-islands
74,Motorola,660,0.02757929,3,2019,andaman-&-nicobar-islands
75,Apple,630,0.026325686,3,2019,andaman-&-nicobar-islands
76,Lenovo,483,0.020183026,3,2019,andaman-&-nicobar-islands
77,Others,2110,0.088170156,3,2019,andaman-&-nicobar-islands
78,Xiaomi,6259,0.241101695,4,2019,andaman-&-nicobar-islands
79,Vivo,5190,0.199922958,4,2019,andaman-&-nicobar-islands
80,Samsung,4900,0.188751926,4,2019,andaman-&-nicobar-islands
81,Oppo,2329,0.089714946,4,2019,andaman-&-nicobar-islands
82,Realme,1329,0.051194145,4,2019,andaman-&-nicobar-islands
83,OnePlus,1124,0.043297381,4,2019,andaman-&-nicobar-islands
84,Huawei,798,0.030739599,4,2019,andaman-&-nicobar-islands
85,Motorola,682,0.026271186,4,2019,andaman-&-nicobar-islands
86,Apple,678,0.026117103,4,2019,andaman-&-nicobar-islands
87,Lenovo,488,0.018798151,4,2019,andaman-&-nicobar-islands
88,Others,2183,0.084090909,4,2019,andaman-&-nicobar-islands
89,Xiaomi,6803,0.239812465,1,2020,andaman-&-nicobar-islands
90,Vivo,5880,0.207275804,1,2020,andaman-&-nicobar-islands
91,Samsung,5335,0.188064016,1,2020,andaman-&-nicobar-islands
92,Oppo,2557,0.090136774,1,2020,andaman-&-nicobar-islands
93,Realme,1511,0.053264241,1,2020,andaman-&-nicobar-islands
94,OnePlus,1184,0.041737169,1,2020,andaman-&-nicobar-islands
95,Huawei,891,0.031408629,1,2020,andaman-&-nicobar-islands
96,Apple,735,0.025909475,1,2020,andaman-&-nicobar-islands
97,Motorola,715,0.025204456,1,2020,andaman-&-nicobar-islands
98,Lenovo,500,0.017625494,1,2020,andaman-&-nicobar-islands
99,Others,2257,0.079561478,1,2020,andaman-&-nicobar-islands
100,Xiaomi,7805,0.238612045,2,2020,andaman-&-nicobar-islands
101,Vivo,7122,0.217731581,2,2020,andaman-&-nicobar-islands
102,Samsung,6030,0.184347294,2,2020,andaman-&-nicobar-islands
103,Oppo,2976,0.090981351,2,2020,andaman-&-nicobar-islands
104,Realme,1761,0.053836747,2,2020,andaman-&-nicobar-islands
105,OnePlus,1271,0.038856619,2,2020,andaman-&-nicobar-islands
106,Huawei,1005,0.030724549,2,2020,andaman-&-nicobar-islands
107,Apple,792,0.024212779,2,2020,andaman-&-nicobar-islands
108,Motorola,779,0.023815347,2,2020,andaman-&-nicobar-islands
109,Lenovo,552,0.016875573,2,2020,andaman-&-nicobar-islands
110,Others,2617,0.080006114,2,2020,andaman-&-nicobar-islands
111,Xiaomi,9794,0.236942059,3,2020,andaman-&-nicobar-islands
112,Vivo,9556,0.231184226,3,2020,andaman-&-nicobar-islands
113,Samsung,7572,0.183186162,3,2020,andaman-&-nicobar-islands
114,Oppo,3730,0.090238297,3,2020,andaman-&-nicobar-islands
115,Realme,2285,0.055280029,3,2020,andaman-&-nicobar-islands
116,OnePlus,1440,0.034837305,3,2020,andaman-&-nicobar-islands
117,Huawei,1213,0.029345591,3,2020,andaman-&-nicobar-islands
118,Motorola,907,0.021942664,3,2020,andaman-&-nicobar-islands
119,Apple,870,0.021047538,3,2020,andaman-&-nicobar-islands
120,Lenovo,606,0.014660699,3,2020,andaman-&-nicobar-islands
121,Others,3362,0.08133543,3,2020,andaman-&-nicobar-islands
122,Xiaomi,12398,0.236621116,4,2020,andaman-&-nicobar-islands
123,Vivo,12275,0.234273609,4,2020,andaman-&-nicobar-islands
124,Samsung,9938,0.189670967,4,2020,andaman-&-nicobar-islands
125,Oppo,4723,0.090140469,4,2020,andaman-&-nicobar-islands
126,Realme,2996,0.057179937,4,2020,andaman-&-nicobar-islands
127,OnePlus,1638,0.031261928,4,2020,andaman-&-nicobar-islands
128,Huawei,1472,0.028093748,4,2020,andaman-&-nicobar-islands
129,Motorola,1032,0.01969616,4,2020,andaman-&-nicobar-islands
130,Apple,973,0.01857012,4,2020,andaman-&-nicobar-islands
131,Lenovo,708,0.013512482,4,2020,andaman-&-nicobar-islands
132,Others,4243,0.080979464,4,2020,andaman-&-nicobar-islands
133,Vivo,13812,0.239135704,1,2021,andaman-&-nicobar-islands
134,Xiaomi,13714,0.237438969,1,2021,andaman-&-nicobar-islands
135,Samsung,10861,0.188043215,1,2021,andaman-&-nicobar-islands
136,Oppo,5158,0.089303646,1,2021,andaman-&-nicobar-islands
137,Realme,3419,0.059195263,1,2021,andaman-&-nicobar-islands
138,OnePlus,1773,0.030697046,1,2021,andaman-&-nicobar-islands
139,Huawei,1575,0.02726895,1,2021,andaman-&-nicobar-islands
140,Motorola,1062,0.018387063,1,2021,andaman-&-nicobar-islands
141,Apple,1056,0.018283182,1,2021,andaman-&-nicobar-islands
142,Tecno,796,0.013781641,1,2021,andaman-&-nicobar-islands
143,Others,4532,0.078465321,1,2021,andaman-&-nicobar-islands
144,Vivo,15056,0.242467187,2,2021,andaman-&-nicobar-islands
145,Xiaomi,14788,0.23815122,2,2021,andaman-&-nicobar-islands
146,Samsung,11476,0.184813592,2,2021,andaman-&-nicobar-islands
147,Oppo,5456,0.087865368,2,2021,andaman-&-nicobar-islands
148,Realme,4034,0.064964973,2,2021,andaman-&-nicobar-islands
149,OnePlus,1981,0.03190273,2,2021,andaman-&-nicobar-islands
150,Huawei,1559,0.025106691,2,2021,andaman-&-nicobar-islands
151,Apple,1153,0.018568323,2,2021,andaman-&-nicobar-islands
152,Motorola,1054,0.016973991,2,2021,andaman-&-nicobar-islands
153,Tecno,974,0.015685643,2,2021,andaman-&-nicobar-islands
154,Others,4564,0.073500282,2,2021,andaman-&-nicobar-islands
155,Vivo,16411,0.245006121,3,2021,andaman-&-nicobar-islands
156,Xiaomi,15938,0.237944522,3,2021,andaman-&-nicobar-islands
157,Samsung,12028,0.179570631,3,2021,andaman-&-nicobar-islands
158,Oppo,5853,0.087381685,3,2021,andaman-&-nicobar-islands
159,Realme,4808,0.071780478,3,2021,andaman-&-nicobar-islands
160,OnePlus,2306,0.03442716,3,2021,andaman-&-nicobar-islands
161,Huawei,1567,0.023394345,3,2021,andaman-&-nicobar-islands
162,Apple,1283,0.0191544,3,2021,andaman-&-nicobar-islands
163,Tecno,1178,0.017586814,3,2021,andaman-&-nicobar-islands
164,Motorola,1017,0.015183184,3,2021,andaman-&-nicobar-islands
165,Others,4593,0.068570661,3,2021,andaman-&-nicobar-islands
166,Vivo,17597,0.245151853,4,2021,andaman-&-nicobar-islands
167,Xiaomi,16968,0.236388966,4,2021,andaman-&-nicobar-islands
168,Samsung,12574,0.175174143,4,2021,andaman-&-nicobar-islands
169,Oppo,6127,0.085358038,4,2021,andaman-&-nicobar-islands
170,Realme,5830,0.081220396,4,2021,andaman-&-nicobar-islands
171,OnePlus,2691,0.037489551,4,2021,andaman-&-nicobar-islands
172,Apple,1490,0.020757871,4,2021,andaman-&-nicobar-islands
173,Huawei,1459,0.020325996,4,2021,andaman-&-nicobar-islands
174,Tecno,1417,0.019740875,4,2021,andaman-&-nicobar-islands
175,Motorola,1055,0.014697687,4,2021,andaman-&-nicobar-islands
176,Others,4572,0.063694622,4,2021,andaman-&-nicobar-islands
177,Vivo,18688,0.244966443,1,2022,andaman-&-nicobar-islands
178,Xiaomi,17957,0.235384333,1,2022,andaman-&-nicobar-islands
179,Samsung,12955,0.169817009,1,2022,andaman-&-nicobar-islands
180,Realme,6769,0.088729551,1,2022,andaman-&-nicobar-islands
181,Oppo,6461,0.084692219,1,2022,andaman-&-nicobar-islands
182,OnePlus,3005,0.039390206,1,2022,andaman-&-nicobar-islands
183,Tecno,1770,0.023201552,1,2022,andaman-&-nicobar-islands
184,Apple,1634,0.021418834,1,2022,andaman-&-nicobar-islands
185,Huawei,1441,0.018888947,1,2022,andaman-&-nicobar-islands
186,Motorola,1050,0.013763633,1,2022,andaman-&-nicobar-islands
187,Others,4558,0.059747273,1,2022,andaman-&-nicobar-islands
188,Xiaomi,836581,0.250739858,1,2018,andhra-pradesh
189,Samsung,683687,0.204914505,1,2018,andhra-pradesh
190,Vivo,425959,0.12766833,1,2018,andhra-pradesh
191,Oppo,304487,0.091260771,1,2018,andhra-pradesh
192,Realme,236646,0.070927483,1,2018,andhra-pradesh
193,Motorola,129739,0.038885342,1,2018,andhra-pradesh
194,OnePlus,129421,0.038790031,1,2018,andhra-pradesh
195,Apple,123274,0.036947654,1,2018,andhra-pradesh
196,Lenovo,84138,0.025217821,1,2018,andhra-pradesh
197,Huawei,76654,0.022974719,1,2018,andhra-pradesh
198,Others,305864,0.091673485,1,2018,andhra-pradesh
199,Xiaomi,1113800,0.252990319,2,2018,andhra-pradesh
200,Samsung,903290,0.20517474,2,2018,andhra-pradesh
201,Vivo,586965,0.133324172,2,2018,andhra-pradesh
202,Oppo,410549,0.093252759,2,2018,andhra-pradesh
203,Realme,305964,0.069497154,2,2018,andhra-pradesh
204,Motorola,169847,0.03857932,2,2018,andhra-pradesh
205,OnePlus,155418,0.035301894,2,2018,andhra-pradesh
206,Apple,151847,0.034490771,2,2018,andhra-pradesh
207,Lenovo,107441,0.024404321,2,2018,andhra-pradesh
208,Huawei,102929,0.023379458,2,2018,andhra-pradesh
209,Others,394490,0.089605092,2,2018,andhra-pradesh
210,Xiaomi,1385112,0.255197078,3,2018,andhra-pradesh
211,Samsung,1103186,0.203254209,3,2018,andhra-pradesh
212,Vivo,761793,0.140354966,3,2018,andhra-pradesh
213,Oppo,518120,0.095459941,3,2018,andhra-pradesh
214,Realme,379712,0.069959247,3,2018,andhra-pradesh
215,Motorola,203756,0.0375406,3,2018,andhra-pradesh
216,OnePlus,181364,0.033415033,3,2018,andhra-pradesh
217,Apple,175343,0.032305706,3,2018,andhra-pradesh
218,Huawei,134429,0.024767591,3,2018,andhra-pradesh
219,Lenovo,122489,0.022567731,3,2018,andhra-pradesh
220,Others,462313,0.085177897,3,2018,andhra-pradesh
221,Xiaomi,1753802,0.255752865,4,2018,andhra-pradesh
222,Samsung,1388061,0.202417706,4,2018,andhra-pradesh
223,Vivo,1011185,0.147458756,4,2018,andhra-pradesh
224,Oppo,675093,0.098447242,4,2018,andhra-pradesh
225,Realme,476746,0.06952276,4,2018,andhra-pradesh
226,Motorola,250601,0.036544561,4,2018,andhra-pradesh
227,OnePlus,210161,0.03064729,4,2018,andhra-pradesh
228,Apple,209737,0.030585459,4,2018,andhra-pradesh
229,Huawei,176237,0.025700232,4,2018,andhra-pradesh
230,Lenovo,149583,0.021813341,4,2018,andhra-pradesh
231,Others,556203,0.081109789,4,2018,andhra-pradesh
232,Xiaomi,2110547,0.254804076,1,2019,andhra-pradesh
233,Samsung,1688342,0.203831719,1,2019,andhra-pradesh
234,Vivo,1262871,0.152465061,1,2019,andhra-pradesh
235,Oppo,835541,0.100873969,1,2019,andhra-pradesh
236,Realme,564832,0.068191562,1,2019,andhra-pradesh
237,Motorola,291830,0.035232323,1,2019,andhra-pradesh
238,Apple,241108,0.02910871,1,2019,andhra-pradesh
239,OnePlus,237269,0.028645232,1,2019,andhra-pradesh
