S.no,District,Transaction_count,Transaction_amount,Quarter,Year,State
1,north and middle andaman district,442,931663.0771,1,2018,andaman-&-nicobar-islands
2,south andaman district,5688,12560249.34,1,2018,andaman-&-nicobar-islands
3,nicobars district,528,1139848.801,1,2018,andaman-&-nicobar-islands
4,north and middle andaman district,825,1317863.083,2,2018,andaman-&-nicobar-islands
5,south andaman district,9395,23948235.52,2,2018,andaman-&-nicobar-islands
6,nicobars district,1120,3072436.908,2,2018,andaman-&-nicobar-islands
7,north and middle andaman district,1283,4901529.518,3,2018,andaman-&-nicobar-islands
8,south andaman district,13511,44268112.46,3,2018,andaman-&-nicobar-islands
9,nicobars district,1471,6387829.152,3,2018,andaman-&-nicobar-islands
10,north and middle andaman district,2137,7955635.918,4,2018,andaman-&-nicobar-islands
11,south andaman district,20136,75411840.8,4,2018,andaman-&-nicobar-islands
12,nicobars district,1485,7180859.355,4,2018,andaman-&-nicobar-islands
13,north and middle andaman district,3264,9561708.736,1,2019,andaman-&-nicobar-islands
14,south andaman district,25683,85501972.39,1,2019,andaman-&-nicobar-islands
15,nicobars district,1539,7236059.549,1,2019,andaman-&-nicobar-islands
16,north and middle andaman district,3371,8612103.138,2,2019,andaman-&-nicobar-islands
17,south andaman district,28490,102530955.7,2,2019,andaman-&-nicobar-islands
18,nicobars district,1828,9111650.824,2,2019,andaman-&-nicobar-islands
19,north and middle andaman district,4049,11481466.28,3,2019,andaman-&-nicobar-islands
20,south andaman district,27421,91023888.33,3,2019,andaman-&-nicobar-islands
21,nicobars district,2300,11566421.48,3,2019,andaman-&-nicobar-islands
22,north and middle andaman district,4716,13524056.78,4,2019,andaman-&-nicobar-islands
23,south andaman district,27843,110930312.2,4,2019,andaman-&-nicobar-islands
24,nicobars district,2600,12384161.53,4,2019,andaman-&-nicobar-islands
25,north and middle andaman district,5674,14697371.62,1,2020,andaman-&-nicobar-islands
26,south andaman district,32713,134679396.9,1,2020,andaman-&-nicobar-islands
27,nicobars district,2911,12099543.77,1,2020,andaman-&-nicobar-islands
28,north and middle andaman district,10979,22447714.06,2,2020,andaman-&-nicobar-islands
29,south andaman district,48088,132855778.7,2,2020,andaman-&-nicobar-islands
30,nicobars district,3895,14341508.6,2,2020,andaman-&-nicobar-islands
31,north and middle andaman district,16747,33486883.37,3,2020,andaman-&-nicobar-islands
32,south andaman district,95323,282366109.2,3,2020,andaman-&-nicobar-islands
33,nicobars district,5413,22166453.75,3,2020,andaman-&-nicobar-islands
34,north and middle andaman district,29349,68941322.39,4,2020,andaman-&-nicobar-islands
35,south andaman district,186494,523122462.9,4,2020,andaman-&-nicobar-islands
36,nicobars district,8688,35218871.04,4,2020,andaman-&-nicobar-islands
37,north and middle andaman district,27358,75027255.28,1,2021,andaman-&-nicobar-islands
38,south andaman district,207092,669604045.1,1,2021,andaman-&-nicobar-islands
39,nicobars district,10302,39075266.99,1,2021,andaman-&-nicobar-islands
40,north and middle andaman district,39200,90233388.79,2,2021,andaman-&-nicobar-islands
41,south andaman district,286907,760893020.6,2,2021,andaman-&-nicobar-islands
42,nicobars district,15307,48020606.75,2,2021,andaman-&-nicobar-islands
43,north and middle andaman district,46592,118254865.8,3,2021,andaman-&-nicobar-islands
44,south andaman district,382418,1116789011,3,2021,andaman-&-nicobar-islands
45,nicobars district,20754,74980519.33,3,2021,andaman-&-nicobar-islands
46,north and middle andaman district,53115,156486112.3,4,2021,andaman-&-nicobar-islands
47,south andaman district,558571,1694794708,4,2021,andaman-&-nicobar-islands
48,nicobars district,24437,81329281.03,4,2021,andaman-&-nicobar-islands
49,north and middle andaman district,60059,161624878.5,1,2022,andaman-&-nicobar-islands
50,south andaman district,705512,1872991196,1,2022,andaman-&-nicobar-islands
51,nicobars district,29177,94414127.65,1,2022,andaman-&-nicobar-islands
52,north and middle andaman district,72573,195693167.8,2,2022,andaman-&-nicobar-islands
53,south andaman district,954875,2357326563,2,2022,andaman-&-nicobar-islands
54,nicobars district,43769,132900618.9,2,2022,andaman-&-nicobar-islands
55,north and middle andaman district,79574,211581970.3,3,2022,andaman-&-nicobar-islands
56,south andaman district,1455255,2967719401,3,2022,andaman-&-nicobar-islands
57,nicobars district,49550,131330400.9,3,2022,andaman-&-nicobar-islands
58,north and middle andaman district,93297,241431284.4,4,2022,andaman-&-nicobar-islands
59,south andaman district,1835592,3600887266,4,2022,andaman-&-nicobar-islands
60,nicobars district,58646,142355854,4,2022,andaman-&-nicobar-islands
61,east godavari district,943935,1235785516,1,2018,andhra-pradesh
62,srikakulam district,458921,587778028.9,1,2018,andhra-pradesh
63,spsr nellore district,531612,676643237.8,1,2018,andhra-pradesh
64,vizianagaram district,420990,505783445.8,1,2018,andhra-pradesh
65,visakhapatnam district,1256469,1749966197,1,2018,andhra-pradesh
66,prakasam district,534757,748990775.9,1,2018,andhra-pradesh
67,anantapur district,638664,788830646,1,2018,andhra-pradesh
68,ysr district,487333,681481931.1,1,2018,andhra-pradesh
69,west godavari district,577090,853547668.8,1,2018,andhra-pradesh
70,kurnool district,679623,764905298.7,1,2018,andhra-pradesh
71,chittoor district,830324,1009621878,1,2018,andhra-pradesh
72,guntur district,815932,1108686589,1,2018,andhra-pradesh
73,krishna district,863935,1284255180,1,2018,andhra-pradesh
74,east godavari district,1221677,2168914928,2,2018,andhra-pradesh
75,srikakulam district,559868,929392017.4,2,2018,andhra-pradesh
76,spsr nellore district,780454,1542057934,2,2018,andhra-pradesh
77,vizianagaram district,529588,811711367.5,2,2018,andhra-pradesh
78,visakhapatnam district,1641192,2987853607,2,2018,andhra-pradesh
79,prakasam district,739991,1571167562,2,2018,andhra-pradesh
80,anantapur district,937023,1690366079,2,2018,andhra-pradesh
81,ysr district,690842,1415500368,2,2018,andhra-pradesh
82,west godavari district,786033,1688025212,2,2018,andhra-pradesh
83,kurnool district,968439,1531888666,2,2018,andhra-pradesh
84,chittoor district,1185723,1990419126,2,2018,andhra-pradesh
85,guntur district,1088101,2108475812,2,2018,andhra-pradesh
86,krishna district,1224987,2448141593,2,2018,andhra-pradesh
87,east godavari district,3226907,3551247095,3,2018,andhra-pradesh
88,srikakulam district,1073883,1318322237,3,2018,andhra-pradesh
89,spsr nellore district,1308890,2215938596,3,2018,andhra-pradesh
90,vizianagaram district,970132,1163546007,3,2018,andhra-pradesh
91,visakhapatnam district,3394576,4821892253,3,2018,andhra-pradesh
92,prakasam district,1319651,2346453445,3,2018,andhra-pradesh
93,anantapur district,1815215,2681787750,3,2018,andhra-pradesh
94,ysr district,1557444,2235904512,3,2018,andhra-pradesh
95,west godavari district,1431282,2309078493,3,2018,andhra-pradesh
96,kurnool district,2921189,2908389262,3,2018,andhra-pradesh
97,chittoor district,2297429,3283517631,3,2018,andhra-pradesh
98,guntur district,1912529,3127764663,3,2018,andhra-pradesh
99,krishna district,2396934,3754202654,3,2018,andhra-pradesh
100,east godavari district,3052762,4652624623,4,2018,andhra-pradesh
101,srikakulam district,1252807,1870278610,4,2018,andhra-pradesh
102,spsr nellore district,1814997,3293448557,4,2018,andhra-pradesh
103,vizianagaram district,1386787,1817673253,4,2018,andhra-pradesh
104,visakhapatnam district,4791421,7366635865,4,2018,andhra-pradesh
105,prakasam district,1692862,3255254226,4,2018,andhra-pradesh
106,anantapur district,2286391,3975878156,4,2018,andhra-pradesh
107,ysr district,1732527,3252340063,4,2018,andhra-pradesh
108,west godavari district,1688482,3237504255,4,2018,andhra-pradesh
109,kurnool district,2508530,3626544852,4,2018,andhra-pradesh
110,chittoor district,3166201,4979093890,4,2018,andhra-pradesh
111,guntur district,2546620,4730251218,4,2018,andhra-pradesh
112,krishna district,2839161,5416251838,4,2018,andhra-pradesh
113,east godavari district,5440146,7382264725,1,2019,andhra-pradesh
114,srikakulam district,2526855,3407912878,1,2019,andhra-pradesh
115,spsr nellore district,3333584,5161932216,1,2019,andhra-pradesh
116,vizianagaram district,2798241,3364576948,1,2019,andhra-pradesh
117,visakhapatnam district,9690866,13459857441,1,2019,andhra-pradesh
118,prakasam district,2931081,4807527779,1,2019,andhra-pradesh
