S.no,District,RegisteredUsers,Appopens,Quarter,Year,State
1,north and middle andaman district,632,0,1,2018,andaman-&-nicobar-islands
2,south andaman district,5846,0,1,2018,andaman-&-nicobar-islands
3,nicobars district,262,0,1,2018,andaman-&-nicobar-islands
4,north and middle andaman district,911,0,2,2018,andaman-&-nicobar-islands
5,south andaman district,8143,0,2,2018,andaman-&-nicobar-islands
6,nicobars district,351,0,2,2018,andaman-&-nicobar-islands
7,north and middle andaman district,1208,0,3,2018,andaman-&-nicobar-islands
8,south andaman district,10474,0,3,2018,andaman-&-nicobar-islands
9,nicobars district,467,0,3,2018,andaman-&-nicobar-islands
10,north and middle andaman district,1553,0,4,2018,andaman-&-nicobar-islands
11,south andaman district,13133,0,4,2018,andaman-&-nicobar-islands
12,nicobars district,536,0,4,2018,andaman-&-nicobar-islands
13,north and middle andaman district,2013,0,1,2019,andaman-&-nicobar-islands
14,south andaman district,15961,0,1,2019,andaman-&-nicobar-islands
15,nicobars district,622,0,1,2019,andaman-&-nicobar-islands
16,north and middle andaman district,2417,6118,2,2019,andaman-&-nicobar-islands
17,south andaman district,18621,43569,2,2019,andaman-&-nicobar-islands
18,nicobars district,693,2953,2,2019,andaman-&-nicobar-islands
19,north and middle andaman district,2662,22064,3,2019,andaman-&-nicobar-islands
20,south andaman district,20518,138190,3,2019,andaman-&-nicobar-islands
21,nicobars district,751,10853,3,2019,andaman-&-nicobar-islands
22,north and middle andaman district,2955,26253,4,2019,andaman-&-nicobar-islands
23,south andaman district,22202,139646,4,2019,andaman-&-nicobar-islands
24,nicobars district,803,11113,4,2019,andaman-&-nicobar-islands
25,north and middle andaman district,3315,30444,1,2020,andaman-&-nicobar-islands
26,south andaman district,24174,151529,1,2020,andaman-&-nicobar-islands
27,nicobars district,879,11613,1,2020,andaman-&-nicobar-islands
28,north and middle andaman district,4100,56992,2,2020,andaman-&-nicobar-islands
29,south andaman district,27626,231071,2,2020,andaman-&-nicobar-islands
30,nicobars district,984,17009,2,2020,andaman-&-nicobar-islands
31,north and middle andaman district,5355,76553,3,2020,andaman-&-nicobar-islands
32,south andaman district,34833,417785,3,2020,andaman-&-nicobar-islands
33,nicobars district,1147,21227,3,2020,andaman-&-nicobar-islands
34,north and middle andaman district,7076,125915,4,2020,andaman-&-nicobar-islands
35,south andaman district,43908,725321,4,2020,andaman-&-nicobar-islands
36,nicobars district,1412,35972,4,2020,andaman-&-nicobar-islands
37,north and middle andaman district,7833,121680,1,2021,andaman-&-nicobar-islands
38,south andaman district,48352,837589,1,2021,andaman-&-nicobar-islands
39,nicobars district,1573,45067,1,2021,andaman-&-nicobar-islands
40,north and middle andaman district,8493,596182,2,2021,andaman-&-nicobar-islands
41,south andaman district,51903,1270226,2,2021,andaman-&-nicobar-islands
42,nicobars district,1699,381815,2,2021,andaman-&-nicobar-islands
43,north and middle andaman district,9263,759314,3,2021,andaman-&-nicobar-islands
44,south andaman district,55873,1771107,3,2021,andaman-&-nicobar-islands
45,nicobars district,1846,591204,3,2021,andaman-&-nicobar-islands
46,north and middle andaman district,10002,171921,4,2021,andaman-&-nicobar-islands
47,south andaman district,59807,1863037,4,2021,andaman-&-nicobar-islands
48,nicobars district,1971,77952,4,2021,andaman-&-nicobar-islands
49,north and middle andaman district,10720,904869,1,2022,andaman-&-nicobar-islands
50,south andaman district,63487,2368756,1,2022,andaman-&-nicobar-islands
51,nicobars district,2081,573782,1,2022,andaman-&-nicobar-islands
52,north and middle andaman district,11379,963824,2,2022,andaman-&-nicobar-islands
53,south andaman district,66959,3404740,2,2022,andaman-&-nicobar-islands
54,nicobars district,2192,811449,2,2022,andaman-&-nicobar-islands
55,north and middle andaman district,11897,1176567,3,2022,andaman-&-nicobar-islands
56,south andaman district,70445,3607286,3,2022,andaman-&-nicobar-islands
57,nicobars district,2300,1284501,3,2022,andaman-&-nicobar-islands
58,north and middle andaman district,12361,313502,4,2022,andaman-&-nicobar-islands
59,south andaman district,73692,3881359,4,2022,andaman-&-nicobar-islands
60,nicobars district,2389,159232,4,2022,andaman-&-nicobar-islands
61,east godavari district,350356,0,1,2018,andhra-pradesh
62,srikakulam district,143839,0,1,2018,andhra-pradesh
63,visakhapatnam district,497187,0,1,2018,andhra-pradesh
64,prakasam district,189949,0,1,2018,andhra-pradesh
65,anantapur district,241192,0,1,2018,andhra-pradesh
