code,Latitude,Longitude,state
PY,10.91564885,79.80694879844232,Puducherry
TN,10.9094334,78.3665347,Tamil Nadu
UP,27.1303344,80.859666,Uttar Pradesh
MP,23.8143419,77.5340719,Madhya Pradesh
AD,15.9240905,80.1863809,Andhra Pradesh
TR,23.7750823,91.7025091,Tripura
LD,10.8132489,73.6804620941119,Lakshadweep
MN,24.7208818,93.9229386,Manipur
MH,18.9068356,75.6741579,Maharashtra
DNHDD,20.718174949999998,70.93238341010638,Dadra and Nagar Haveli and Daman and Diu
ML,25.5379432,91.2999102,Meghalaya
AN,10.0001051,93.0000194,Andaman & Nicobar
HR,29.0,76.0,Haryana
RJ,26.8105777,73.7684549,Rajasthan
LA,33.9456407,77.6568576,Ladakh
PB,30.9293211,75.5004841,Punjab
AS,26.4073841,93.2551303,Assam
JH,23.4559809,85.2557301,Jharkhand
OD,20.5431241,84.6897321,Odisha
BR,25.6440845,85.906508,Bihar
KL,10.3528744,76.5120396,Kerala
KA,14.5203896,75.7223521,Karnataka
CH,30.72984395,76.78414567016054,Chandigarh
TS,17.8495919,79.1151663,Telangana
HP,31.81676015,77.34932051968858,Himachal Pradesh
WB,22.9964948,87.6855882,West Bengal
GJ,22.3850051,71.745261,Gujarat
SK,27.601029,88.45413638680145,Sikkim
NL,26.1630556,94.5884911,Nagaland
MZ,23.2146169,92.8687612,Mizoram
CG,21.6637359,81.8406351,Chhattisgarh
JK,32.7185614,74.8580917,Jammu & Kashmir
GA,15.3004543,74.0855134,Goa
AR,28.0937702,94.5921326,Arunachal Pradesh
DL,28.6517178,77.2219388,Delhi
UK,30.0417376,79.089691,Uttarakhand
